title,location,job_type,employer,category
Industrial Training Officer Iii ,Nairobi,Full Time,National Industrial Training Authority (NITA),Teaching & Training
Accountant Ii ,Nairobi,Full Time,National Industrial Training Authority (NITA),Accounting & Auditing
Chief Accountant ,Nairobi,Full Time,National Industrial Training Authority (NITA),Accounting & Auditing
Client Centre Executive - Service,Nairobi,Full Time,Standard Chartered Kenya,Customer Service & Support
Production Officer,Nairobi,Full Time,Watervale Investments,Quality Control & Assurance
Principal Officer / Head Of Regional Office,Nairobi,Full Time,Public Procurement Regulatory Authority (PPRA),Supply Chain & Procurement
Senior Officer / Regional Office,Nairobi,Full Time,Public Procurement Regulatory Authority (PPRA),Supply Chain & Procurement
Compliance Officer Ii,Nairobi,Full Time,Public Procurement Regulatory Authority (PPRA),Supply Chain & Procurement
 Senior Legal Officer,Nairobi,Full Time,Public Procurement Regulatory Authority (PPRA),Legal
Legal Officer I,Nairobi,Full Time,Public Procurement Regulatory Authority (PPRA),Legal
Senior Policy & Research Officer,Nairobi,Full Time,Public Procurement Regulatory Authority (PPRA),Research
Driver Ii,Nairobi,Full Time,Public Procurement Regulatory Authority (PPRA),Supply Chain & Procurement
Accountant,Nairobi,Full Time,Shanghai Engineering Company. (K) Limited,Accounting & Auditing
Electrical And Mechanical Engineer,Nairobi,Full Time,Shanghai Engineering Company. (K) Limited,Engineering
Sales And Marketing,Nairobi,Full Time,Shanghai Engineering Company. (K) Limited,Sales & Business Development
Junior Production Supervisor,Rest of Kenya,Full Time,REA Vipingo Plantations Limited,Engineering
Electrical Supervisor,Rest of Kenya,Full Time,REA Vipingo Plantations Limited,Engineering
Non-Professional Volunteer Mentor,Nairobi,Full Time,Imara Educational Foundation,Project Management
Professional Volunteer Mentors,Nairobi,Full Time,Imara Educational Foundation,Project Management
"Monitoring, Evaluation And Learning (Mel) Officer",Nairobi,Full Time,Jhpiego Kenya,Project Management
Kiswahili Teacher (High School) - Machakos,Rest of Kenya,Full Time,Springvale High School,Teaching & Training
Medical Sales Representative,Nairobi,Full Time,Anonymous,Sales & Business Development
Contractor - Accounts Payables,Nairobi,Full Time,Safaricom Limited,Accounting & Auditing
Risk & Compliance Manager,Nairobi,Full Time,The African Talent Company (TATC),Quality Control & Assurance
Chef - Thika,Thika,Full Time,Anonymous,Food Services
Food & Beverage Supervisor,Thika,Full Time,Anonymous,Food Services
Ecde And P1 Teacher - Ongata Rongai,Rest of Kenya,Full Time,The Azuri School,Teaching & Training
Copywriter And Writer - Uganda,Outside Kenya,Full Time,The Headhunters (U) Limited,Marketing & Communications
Manager – Alarm Response Team,Nairobi,Full Time,Securex Kenya,Quality Control & Assurance
Air-Conditioning Technicians,Rest of Kenya,Full Time,Flexi Personnel Limited,Engineering
Veterinary Science Management Trainees - (5 Positions),Nairobi,Full Time,The African Talent Company (TATC),Medicine & Pharmaceutical
Call Center Manager,Nairobi,Full Time,Brites Management Services Limited,Customer Service & Support
Sales Representatives (20 Positions),Nairobi,Full Time,Anonymous,Sales & Business Development
Telesales Agent (Logbook Loans) – Momentum Credit,Nairobi,Full Time,FirstCut Hires,Customer Service & Support
Communication Officer,Nairobi,Full Time,International Committee of the Red Cross (ICRC),Marketing & Communications
Procurement Officer - Victory Farms,Rest of Kenya,Full Time,FirstCut Hires,Supply Chain & Procurement
Principal Software Development Manager,Nairobi,Full Time,The African Talent Company (TATC),IT & Telecoms
Program Officer,Nairobi,Full Time,Association of Professional Societies in East Africa (APSEA),Project Management
Wordpress Developer,Nairobi,Full Time,Nabaleka Digital Solution,IT & Telecoms
Ict Intern,Rest of Kenya,Internships & Graduate,BIMAS Ltd,IT & Telecoms
Registry Intern,Rest of Kenya,Internships & Graduate,BIMAS Ltd,Administrative
Hr And Administration Intern,Rest of Kenya,Internships & Graduate,BIMAS Ltd,Recruitment
Finance And Data Entry Intern,Rest of Kenya,Internships & Graduate,BIMAS Ltd,Accounting & Auditing
Loan Officer Internship,Rest of Kenya,Internships & Graduate,BIMAS Ltd,Administrative
Communication Assistant,Nairobi,Full Time,Pan African Climate Justice Alliance,Marketing & Communications
Office Administrator Intern,Nairobi,Full Time,Odyssey Capital Limited,Administrative
Finance Officer,Nairobi,Full Time,Pan African Climate Justice Alliance,Accounting & Auditing
Finance And Administration Officer,Nairobi,Full Time,Career King Kenya,Accounting & Auditing
Finance Officer,Nairobi,Full Time,Career King Kenya,Accounting & Auditing
Attachment Opportunity,Nairobi,Internships & Graduate,AfricarTrack International Ltd,Supply Chain & Procurement
Territory Sales Executive,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Programmer,Nairobi,Full Time,UHA College of Nutritional Science Ltd,IT & Telecoms
Medical Lecturer,Nairobi,Full Time,UHA College of Nutritional Science Ltd,Teaching & Training
Operations Coordinator - Ande,Nairobi,Full Time,FirstCut Hires,Administrative
Student Data Submission Officer ,Nairobi,Full Time,Ikokazi Ltd,Administrative
Student Records Officer ,Nairobi,Full Time,Ikokazi Ltd,Administrative
Student Relationship Officer ,Nairobi,Full Time,Ikokazi Ltd,Administrative
Safari Tour Driver & Guide,Nairobi,Full Time,BOBU Africa Limited,Trades & Services
Coffee Merchandiser,Nairobi,Full Time,Kenya Co-operative Coffee Exporters Limited (KENCAFFEE),Sales & Business Development
Marketing Associate - Nova Pioneer,Nairobi,Full Time,FirstCut Hires,Marketing & Communications
Online Tutors - Mathematics And Science,Nairobi,Full Time,UHA College of Nutritional Science Ltd,Teaching & Training
Herbal Medical Officer,Nairobi,Full Time,UHA College of Nutritional Science Ltd,Medicine & Pharmaceutical
Customer Care Representative,Nairobi,Full Time,JimCab Services Ltd,Customer Service & Support
Executive Psv Drivers,Nairobi,Full Time,JimCab Services Ltd,Trades & Services
Customer Service Executive / Sales Administrator,Nairobi,Full Time,Melvin Marsh International Limited (Melvins Teas),Sales & Business Development
Consultant (Agriculture),Nairobi,Part Time,Eastern Africa Farmers Federation (EAFF),Consulting & Strategy
Worker Recruitment & Quality Control Manager,Nairobi,Full Time,Lynk,Management
Hr Manager,Rest of Kenya,Full Time,Mzuri Sweets Ltd,Administrative
Vegetable Sales Executive,Nairobi,Full Time,AmoebaX Kenya Ltd,Farming
Fleet Manager,Nairobi,Full Time,Reeds Africa Consult Ltd (RAC),Customer Service & Support
Audio Visual Technicians ,Nairobi,Full Time,Audio Visual Control Systems Ltd - AVCS,Engineering
Guest House Manager - Western Kenya,Rest of Kenya,Full Time,Victoria Inter Diocesan Investments Company | VIDIC Limited,Food Services
Head Teacher,Thika,Full Time,"Njema Academy, Ruiru",Teaching & Training
Brand Manager,Nairobi,Full Time,The African Talent Company (TATC),Marketing & Communications
Technicians,Nairobi,Full Time,Career King Kenya,Engineering
Retail Chain Accountant,Nairobi,Full Time,DICHOTOMY Enterprises Ltd,Accounting & Auditing
History/cre Teacher - Maralal,Rest of Kenya,Full Time,Catholic Diocese of Maralal,Teaching & Training
Business Development Manager,Nairobi,Full Time,Fortec Medix Supplies Limited,Sales & Business Development
Graphic Designer,Nairobi,Full Time,Software Technologies Limited,Art & Design
Night Club Manager,Mombasa,Full Time,Reef Hotel Mombasa,Food Services
Head Chef,Nakuru,Full Time,Milele Resort Nakuru,Food Services
Front Office Supervisor ,Mombasa,Full Time,Kenya Safari Lodges & Hotel (KSLH),Customer Service & Support
 Warehouse Attendant (Storekeeper) Intern,Nairobi,Full Time,Fireside Communications Limited,IT & Telecoms
Sales Executive,Nairobi,Full Time,DCS Kenya (BCF Kenya LTD),Sales & Business Development
Costing Technician,Nairobi,Full Time,The African Talent Company (TATC),Engineering
Account Assistant,Nairobi,Full Time,The African Talent Company (TATC),Accounting & Auditing
Office Assistant,Nairobi,Full Time,The African Talent Company (TATC),Trades & Services
Sales Representatives,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Store Keeper,Nairobi,Full Time,The African Talent Company (TATC),Supply Chain & Procurement
Audit Senior Position,Kisumu,Full Time,Imran Osman & Associates (IOA),Accounting & Auditing
Barman - Athi River,Rest of Kenya,Full Time,"The White Resort, Athi River (The Menengai Slopes Resorts)",Food Services
Waiter/waitress - Athi River,Rest of Kenya,Full Time,"The White Resort, Athi River (The Menengai Slopes Resorts)",Food Services
"Housekeeper, Athi River",Rest of Kenya,Full Time,"The White Resort, Athi River (The Menengai Slopes Resorts)",Food Services
Hotel Sales Executive - Athi River,Rest of Kenya,Full Time,"The White Resort, Athi River (The Menengai Slopes Resorts)",Sales & Business Development
"Chef, Athi River",Rest of Kenya,Full Time,"The White Resort, Athi River (The Menengai Slopes Resorts)",Trades & Services
Chemistry / Biology Teachers - Makueni,Rest of Kenya,Full Time,Clay International Secondary School Makueni (CISS),Teaching & Training
Physics / Geography Teachers - Makueni,Rest of Kenya,Full Time,Clay International Secondary School Makueni (CISS),Teaching & Training
Farm Human Resources Manager - Homa Bay,Rest of Kenya,Full Time,Victory Farms Ltd,Recruitment
Insurance Agency Administration And Business Executive,Nairobi,Full Time,AG Insurance Agency Limited,Administrative
Full Stack Web Developer,Nairobi,Full Time,Malezi LLP,IT & Telecoms
Business Development Officer,Nairobi,Full Time,Exodus Clothing Company Ltd,Sales & Business Development
Workshop/ Outdoor Operations Manager,Nairobi,Full Time,Tangerine Investments Ltd,Management
Community Marketer - Kenya,Nairobi,Full Time,Ringier One Africa Media (ROAM),Marketing & Communications
Business Development Manager - Somalia,Outside Kenya,Full Time,IDMAN Group,Sales & Business Development
Property Manager,Nairobi,Full Time,Best Apartments Management Limited,Building & Architecture
17-514 Program Officer,Outside Kenya,Full Time,International Medical Corps (IMC),Property Management
17-530 Anesthetist,Outside Kenya,Full Time,International Medical Corps (IMC),Medicine & Pharmaceutical
Site Manager,Outside Kenya,Full Time,International Medical Corps (IMC),Project Management
Reproductive Health Officer,Outside Kenya,Full Time,International Medical Corps (IMC),Project Management
Customer Service Champion,Nairobi,Full Time,The African Talent Company (TATC),Customer Service & Support
Construction Project Manager - Mogadishu,Outside Kenya,Full Time,IDMAN Group,Building & Architecture
Security Officer - Mogadishu,Outside Kenya,Full Time,IDMAN Group,Trades & Services
Fleet Manager,Nairobi,Full Time,Reeds Africa Consult Ltd (RAC),Supply Chain & Procurement
Operations Specialist - Dar Es Salaam,Outside Kenya,Full Time,Taxify,Management
Researchers,Nairobi,Full Time,African Population and Health Research Center (APHRC),Research
Rso Npo Cluster Line Manager,Nairobi,Full Time,Nokia Solutions and Networks Kenya Ltd,Management
"Partnership Advisor, Kenya",Nairobi,Full Time,SSG Advisors,Project Management
"Software Engineer, Mobile Applications",Nairobi,Full Time,Fight Rabbit,IT & Telecoms
Cyber Café Administrator,Nairobi,Full Time,Bushra Cyber Cafe,IT & Telecoms
Spa Therapist,Nairobi,Full Time,Villa Rosa Kempinski,Trades & Services
Quality Analyst,Nairobi,Full Time,East African Breweries Limited (EABL),Quality Control & Assurance
Systems Specialist,Nairobi,Full Time,Open Capital Advisors,IT & Telecoms
Project Leader,Nairobi,Full Time,Open Capital Advisors,Management
Internal Auditor - Africa Subsidiaries It,Nairobi,Full Time,Barclays Bank of Kenya Limited,Accounting & Auditing
It Division Enterprise & Systems Account Manager ,Nairobi,Full Time,Schneider Electric Kenya,IT & Telecoms
Call Centre Operator - Fintech Company,Nairobi,Full Time,Afrikaloan.com,Customer Service & Support
Bank Debt Collector Trainee - Twenty Posts (Purely Done On Phone),Nairobi,Full Time,Skills Geographic,Customer Service & Support
Emergency Wash Coordinator,Outside Kenya,Full Time,World Concern,Project Management
"Junior Seo Marketer - Cape Town, South Africa",Outside Kenya,Full Time,Ringier One Africa Media (ROAM),Marketing & Communications
Graphic Designer,Nairobi,Full Time,PEACH MARKETING​ ​ LTD,Art & Design
Customer Service,Nairobi,Full Time,Xelpha Health,Customer Service & Support
Ab Testing,Nairobi,Full Time,Xelpha Health,IT & Telecoms
Database Engineer,Nairobi,Full Time,Xelpha Health,IT & Telecoms
Business Analyst,Nairobi,Full Time,Xelpha Health,IT & Telecoms
Sys Admin/network Engineer,Nairobi,Full Time,Xelpha Health,IT & Telecoms
Test Engineer,Nairobi,Full Time,Xelpha Health,IT & Telecoms
Front End Developers,Nairobi,Full Time,Xelpha Health,IT & Telecoms
Back End Developer,Nairobi,Full Time,Xelpha Health,IT & Telecoms
Security Engineer,Nairobi,Full Time,Xelpha Health,IT & Telecoms
Ui/ux Designer,Nairobi,Full Time,Xelpha Health,IT & Telecoms
Hr &administration; Officer,Nairobi,Full Time,Jijenge Credit limited,Recruitment
Operations Executive,Nairobi,Full Time,Seagull Kenya Limited,Administrative
Sales Executive,Nairobi,Full Time,Seagull Kenya Limited,Sales & Business Development
Sales Executives,Nakuru,Full Time,HARMONY AFRICA INVESTMENT LIMITED,Sales & Business Development
M&o Leader,Nairobi,Full Time,Microsoft Kenya,Sales & Business Development
"Regional Managing Director, Africa",Nairobi,Full Time,The Nature Conservancy,Project Management
Communications & Advocacy Associate,Nairobi,Full Time,Global Health Strategies,Project Management
Office Administrator (Experience In A Law Firm),Nairobi,Full Time,i Manage Limited,Administrative
Teachers,Nairobi,Full Time,Visionary Centres,Teaching & Training
Media Manager Ecaf,Nairobi,Full Time,Coca Cola,Marketing & Communications
Officer – Quality Control / Production,Nairobi,Full Time,Norda Industries,Quality Control & Assurance
Public Information Officer (Managing Publisher),Nairobi,Full Time,UNEP - United Nations Environment Programme,Project Management
Conflict & Extremism Portfolio Lead,Nairobi,Full Time,Wasafiri Consulting,Project Management
 Animations Designer (Part-Time),Nairobi,Part Time,Heri Naturals,Art & Design
School Administrator (High School),Rest of Kenya,Full Time,Springvale High School,Administrative
Software Developer – Ux/ui Expert (M/f),Nairobi,Full Time,Finance In Motion,IT & Telecoms
Bid Administrator,Nairobi,Full Time,COM Twenty One (COM21) Limited,Supply Chain & Procurement
Business Development Officer,Nairobi,Full Time,COM Twenty One (COM21) Limited,Sales & Business Development
Marketers ,Nairobi,Full Time,DAV Kenya Ltd,Sales & Business Development
Procurement Officer,Outside Kenya,Full Time,IDMAN Group,Supply Chain & Procurement
Waiter/waitress,Outside Kenya,Full Time,IDMAN Group,Food Services
Human Resource Manager,Outside Kenya,Full Time,IDMAN Group,Recruitment
Housekeeper,Outside Kenya,Full Time,IDMAN Group,Food Services
Housekeeper Supervisor,Outside Kenya,Full Time,IDMAN Group,Food Services
Sales And Marketing Executives,Nairobi,Full Time,Sawa Internet Limited,Sales & Business Development
Logistics Manager,Outside Kenya,Full Time,IDMAN Group,Supply Chain & Procurement
Receptionist,Outside Kenya,Full Time,The Lahe Hotels,Administrative
Supervisor,Outside Kenya,Full Time,The Lahe Hotels,Food Services
Operation Manager,Outside Kenya,Full Time,The Lahe Hotels,Food Services
Café Chef,Nairobi,Full Time,The African Talent Company (TATC),Food Services
Accountant,Nairobi,Full Time,Westlands Medical Centre,Accounting & Auditing
Business Relationship Officer,Nairobi,Full Time,Springboard Capital Ltd,Sales & Business Development
Finance Manager,Nairobi,Full Time,Riley Services Ltd,Accounting & Auditing
Sales And Marketing Executive,Nairobi,Full Time,Hotman Trading Limited,Sales & Business Development
Sales And Marketing Executive,Nairobi,Full Time,Anonymous,Sales & Business Development
Retail Sales Executive ,Nairobi,Full Time,Kenbro Industries Limited,Sales & Business Development
Heavy Diesel Mechanics Wanted In New Zealand,Outside Kenya,Full Time,GoughGough & Hamer,Trades & Services
Country Financial Controller,Outside Kenya,Full Time,Concern Worldwide,Accounting & Auditing
Account Assistant Interns,Nairobi,Internships & Graduate,Optim Systems Limited,Accounting & Auditing
Tuk Tuk Sales Drivers,Nairobi,Full Time,Brites Management Services Limited,Sales & Business Development
Credit Controller,Nairobi,Full Time,The Nairobi Women's Hospital,Accounting & Auditing
Mobile Developer (Android And Ios),Nairobi,Full Time,Wise & Agile Solutions Ltd,IT & Telecoms
System Administrator (Linux & Windows),Nairobi,Full Time,Wise & Agile Solutions Ltd,IT & Telecoms
Senior Business Development Executive,Nairobi,Full Time,Reeds Africa Consult Ltd (RAC),Sales & Business Development
Logistics And Distribution Officer ,Nairobi,Full Time,AutoXpress Ltd,Supply Chain & Procurement
Sales & Marketing Executive,Thika,Full Time,Sierra Signature Homes Limited,Sales & Business Development
"Quality, Health, And Safety Training Officer ",Nairobi,Full Time,Tradewinds Training Services Ltd,Teaching & Training
Trainee Graphic Designer - Ruiru,Rest of Kenya,Full Time,Anstar Agencies Limited,Art & Design
On-Trade Manager,Nairobi,Full Time,The African Talent Company (TATC),Marketing & Communications
Sales Executives,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Brand Manager - Jagermeister (On-Trade And Off-Trade),Nairobi,Full Time,The African Talent Company (TATC),Marketing & Communications
Marketing Executive/ Assistant To Business Development Manager,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Sales Executives,Nairobi,Full Time,Kinetic Controls Limited,Sales & Business Development
Receptionist,Nairobi,Full Time,Kinetic Controls Limited,Customer Service & Support
Technical Sales Internship,Nairobi,Internships & Graduate,Professional Technologies,Sales & Business Development
Investments Associate - Public Markets,Nairobi,Full Time,The African Talent Company (TATC),Research
Investment Analyst - Public Markets,Nairobi,Full Time,The African Talent Company (TATC),Research
Marketing And Communications Officer,Rest of Kenya,Full Time,Linking Industry with Academia (LIWA) Programme Trust,Marketing & Communications
Junior Refrigeration Technician - Thika,Thika,Full Time,The African Talent Company (TATC),Engineering
Senior Refrigeration Technician - Thika,Thika,Full Time,The African Talent Company (TATC),Engineering
Client Manager,Nairobi,Full Time,The African Talent Company (TATC),Management
"Senior Business Analyst - Cape Town, South Africa",Outside Kenya,Full Time,Ringier One Africa Media (ROAM),Marketing & Communications
Technical Field Sales Person,Nairobi,Full Time,Kens Metal Industries Ltd,Sales & Business Development
Security Manager - Cu South & East Africa,Nairobi,Full Time,Ericsson Kenya Limited,Management
" Proposals Coordinator: Buildings & Places - East Africa, Nairobi, Kenya ",Nairobi,Full Time,AECOM,Consulting & Strategy
Creative Designer,Nairobi,Full Time,The African Talent Company (TATC),Art & Design
Accountant,Nairobi,Full Time,Hotel Nomad Kitengela,Accounting & Auditing
Head Of Debt And Equity East Africa,Nairobi,Full Time,Summit Recruitment & Search,Management
Social Media Marketer,Nairobi,Full Time,Anonymous,Marketing & Communications
Sales Representative,Nairobi,Full Time,Bakezone Horescha,Sales & Business Development
Tutorial Fellow Grade 11 - Management Science 1 Post Ref: Cu/ad/111/11/2017,Rest of Kenya,Full Time,Chuka University,Teaching & Training
Physics/maths Teachers - Makueni,Rest of Kenya,Full Time,Clay International Secondary School Makueni (CISS),Teaching & Training
Chemistry/physics Teachers - Makueni,Rest of Kenya,Full Time,Clay International Secondary School Makueni (CISS),Teaching & Training
Tutorial Fellow Grade 11 - Educational Technology 1 Post Ref: Cu/ad/105/11/2017,Rest of Kenya,Full Time,Chuka University,Teaching & Training
Geography / Kiswahili Teachers - Makueni,Rest of Kenya,Full Time,Clay International Secondary School Makueni (CISS),Teaching & Training
Customer Care Officer,Nairobi,Full Time,Uber Africa Solutions,Customer Service & Support
Sales Representative - Kenya,Nairobi,Full Time,Monsanto,Sales & Business Development
Credit Control Team Lead – Kenya,Nairobi,Full Time,Booking.com,Accounting & Auditing
Business Development Officer,Rest of Kenya,Full Time,Anonymous,Sales & Business Development
Sales Agent,Mombasa,Full Time,Wananchi Group K Ltd,Sales & Business Development
Associate Professor Grade 14 - Economics 1 Post Ref: Cu/ad/51/11/2017,Rest of Kenya,Full Time,Chuka University,Teaching & Training
Tutorial Fellow Grade 11 - Hotel Management Or Hospitality Management 2 Posts Ref: Cu/ad/40/11/2017,Rest of Kenya,Full Time,Chuka University,Teaching & Training
Cashier/office Clerk - Singapore,Outside Kenya,Full Time,SMILE International,Accounting & Auditing
Waiter/waitress - Singapore,Outside Kenya,Full Time,SMILE International,Food Services
Laborer - Singapore,Outside Kenya,Full Time,SMILE International,Trades & Services
Secretary - Singapore,Outside Kenya,Full Time,SMILE International,Administrative
Social Media Associate Needed At Web Platform,Nairobi,Full Time,VTN Technologies,Marketing & Communications
Online Ads Account Executive Needed At Web Platform,Nairobi,Full Time,VTN Technologies,Marketing & Communications
Search Engine Optimizer Specialist Needed At Web Platform,Nairobi,Full Time,VTN Technologies,IT & Telecoms
Video Editor Needed At Web Platform,Nairobi,Full Time,VTN Technologies,IT & Telecoms
Motion Designer Needed At Web Platform,Nairobi,Full Time,VTN Technologies,IT & Telecoms
Front-End Web Developer Needed At Web Platform,Nairobi,Full Time,VTN Technologies,IT & Telecoms
Club Promoter,Nairobi,Full Time,Club Hypnotica,Marketing & Communications
Dispatch Clerks,Nairobi,Full Time,Safepak Limited,Supply Chain & Procurement
Telesales Executives - Thika (5 Positions),Thika,Full Time,The African Talent Company (TATC),Sales & Business Development
Site Representative - Kitengela,Rest of Kenya,Full Time,CVL Kenya,Customer Service & Support
Reservation Assistant,Nairobi,Full Time,Kama Kazi Africa,Customer Service & Support
Food And Beverage Manager,Nairobi,Full Time,Kama Kazi Africa,Food Services
Biomedical Engineer / Sales Coordinator,Nairobi,Full Time,Phoenix Equipment Ltd,Engineering
Mobile Packet Backbone Network Engineer,Nairobi,Full Time,Nokia Solutions and Networks Kenya Ltd,IT & Telecoms
Head Of Debt And Equity East Africa,Nairobi,Full Time,Mobisol Ltd,Management
Nanny ,Nairobi,Full Time,Nanny Business Central,Trades & Services
Lecturer - Forensic Biology (1 Position) Kuc/ad/05/12/2017,Rest of Kenya,Full Time,Kisii University,Teaching & Training
Lecturer - Biochemistry (1 Position) Kuc/ad/04/12/2017,Rest of Kenya,Full Time,Kisii University,Teaching & Training
Real Estate Sales Manager,Eldoret,Full Time,Unity Homes Ltd,Sales & Business Development
Veterinary Officer,Rest of Kenya,Full Time,The African Talent Company (TATC),Medicine & Pharmaceutical
"Unit Manager (Nyeri, Kitui, Bomet And Narok)",Rest of Kenya,Full Time,4G Capital (4th Generation Capital),Management
"Head Of Oncology Units, Department Of Medicine",Nairobi,Full Time,Aga Khan University (AKU),Medicine & Pharmaceutical
"Fulltime Faculty, Radiation Oncologist",Nairobi,Full Time,Aga Khan University (AKU),Medicine & Pharmaceutical
"Full-Time Faculty, Pulmonologist, Department Of Medicine",Nairobi,Full Time,Aga Khan University (AKU),Medicine & Pharmaceutical
"Full-Time Faculty, Gastroenterologist, Department Of Medicine",Nairobi,Full Time,Aga Khan University (AKU),Medicine & Pharmaceutical
"Full Time Faculty, Psychiatrist, Department Of Medcine",Nairobi,Full Time,Aga Khan University (AKU),Medicine & Pharmaceutical
"Full Time Faculty, Dermatology, Department Of Medcine",Nairobi,Full Time,Aga Khan University (AKU),Medicine & Pharmaceutical
"Full Time Faculty - Cardiologist, Department Of Medicine",Nairobi,Full Time,Aga Khan University (AKU),Medicine & Pharmaceutical
Head Of Mission M/f - Kenya / Somalia,Nairobi,Full Time,Secours Islamique France,Management
Microsoft Database Administrator,Nairobi,Full Time,Cygnet Systems Ltd,IT & Telecoms
Localization Coordinator,Nairobi,Full Time,iFlix,Marketing & Communications
Accountant,Nairobi,Full Time,Ctrack Kenya Ltd,Accounting & Auditing
Naturally Good Health Manager,Nairobi,Full Time,The African Talent Company (TATC),Administrative
Sales Internship,Nairobi,Internships & Graduate,Institute of Software Technologies Limited (IST),Sales & Business Development
Borehole Driller,Rest of Kenya,Full Time,The African Talent Company (TATC),Engineering
Corporate Secretarial -Cps(K),Nairobi,Full Time,Anonymous,Administrative
"Finance Manager – Jinja, Uganda",Outside Kenya,Full Time,Summit Recruitment & Search,Accounting & Auditing
Software Engineer,Nairobi,Full Time,IBM East Africa,IT & Telecoms
Ion Ip Pre-Sales Engineer Vodafone Mea (Nairobi),Nairobi,Full Time,Nokia Solutions and Networks Kenya Ltd,Sales & Business Development
Personal Assistant To The Md,Nairobi,Full Time,The African Talent Company (TATC),Administrative
Sales Executive,Nairobi,Full Time,Imigan Ventures Limited,Sales & Business Development
Customer Service And Incident Management Officer ,Nairobi,Full Time,INFAMA Limited,Customer Service & Support
Live Online English Teachers,Nairobi,Full Time,Accolade Maven,Teaching & Training
Kindergarten Teacher,Rest of Kenya,Full Time,Gifted Gems Kindergarten,Teaching & Training
Head Of Internal Audit,Nairobi,Full Time,AutoXpress Ltd,Accounting & Auditing
"Branch Manager, General Business - Kisii Branch",Rest of Kenya,Full Time,Kenindia Assurance Company Ltd,Management
Branch Manager - Nyeri Branch,Rest of Kenya,Full Time,Kenindia Assurance Company Ltd,Management
Office Riders,Nairobi,Full Time,Computers for Schools Kenya (CFSK),Supply Chain & Procurement
Housekeeper,Nairobi,Full Time,Anonymous,Food Services
Bdm - Bop Consumer,Nairobi,Full Time,Philips,Sales & Business Development
Medical Representative - Women Health,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Oracle Database Specialist - Somalia,Outside Kenya,Full Time,Career King Kenya,IT & Telecoms
Plant Mechanic,Rest of Kenya,Full Time,CARE Kenya (CARE International),Engineering
Wash Officer,Rest of Kenya,Full Time,CARE Kenya (CARE International),Project Management
Finance Intern,Nairobi,Full Time,Victory Farms Ltd,Accounting & Auditing
Management Trainees - Section Managers – Fmcg,Nairobi,Full Time,Flexi Personnel Limited,Food Services
Real Estate Sales Agents,Nairobi,Full Time,Community Owned Financial Institution,Sales & Business Development
Business Development Manager,Nairobi,Full Time,BSD Group,Sales & Business Development
 Liaison Officer,Rest of Kenya,Full Time,Tharaka Nithi County Assembly,Marketing & Communications
Administrative Assistant - Ruiru,Thika,Full Time,ADVA Group,Administrative
Customer Service Assistant - Nairobi,Nairobi,Full Time,Accessorize with Style,Customer Service & Support
Professor/ Associate Professor - Phd In Plant Breeding Or Genetics,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Natural Resource Economics/ Natural Resource Policy & Law/ Natural Resource & Sustainable Agriculture And Related Fields,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Agricultural Economics,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Gis/geo-Informatics,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Physical Geography,Outside Kenya,Full Time,Dilla University,Teaching & Training
"Assistant Professor And Above - Phd In (Hydraulic, Hydropower, Hydrology, Ground Water, Water Supply, Irrigation Sediment And Other Water Resources) Engineering,",Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Irrigation Engineering/water Resource Management/irrigation And Drainage Engineering,Outside Kenya,Full Time,Dilla University,Teaching & Training
Lecturer - Msc In Architecture Related Specialization ,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Thermal Engineering And Related,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Mechanical Design And Related,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Combustion And Propulsion,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Computer Networking And Related ,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Computer Science,Outside Kenya,Full Time,Dilla University,Teaching & Training
Accountant,Nairobi,Full Time,Newmatic Africa Ltd,Accounting & Auditing
Lecturer - Msc In Computer Engineering,Outside Kenya,Full Time,Dilla University,Teaching & Training
Lecturer - Msc In Power Engineering,Outside Kenya,Full Time,Dilla University,Teaching & Training
Lecturer - Msc In Communication Engineering,Outside Kenya,Full Time,Dilla University,Teaching & Training
Lecturer - Msc In Control Engineering ,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Computer Engineering And Related,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Control Engineering And Related,Outside Kenya,Full Time,Dilla University,Teaching & Training
